x,y,class,log_loss
6.104141616821289062e+01,2.446848106384277344e+01,9.000000000000000000e+00,4.148151492699980736e-04
-2.656737899780273438e+01,-5.685178756713867188e+01,2.000000000000000000e+00,5.841272468387614936e-06
1.029360103607177734e+01,5.980784988403320312e+01,1.000000000000000000e+00,0.000000000000000000e+00
-7.990994453430175781e-01,7.446547698974609375e+01,1.000000000000000000e+00,3.576279254957626108e-07
-3.287965011596679688e+01,7.971964836120605469e+00,6.000000000000000000e+00,5.737760104238986969e-03
6.270241260528564453e+00,5.039282989501953125e+01,1.000000000000000000e+00,7.510213436034973711e-06
-6.790630340576171875e+01,-1.133652305603027344e+01,4.000000000000000000e+00,1.293482142500579357e-03
-5.823562622070312500e+01,-4.369806671142578125e+01,6.000000000000000000e+00,9.227224654750898480e-05
3.197431564331054688e+01,-2.633770370483398438e+01,5.000000000000000000e+00,1.551033201394602656e-04
1.890519714355468750e+01,1.563577950000762939e-01,7.000000000000000000e+00,2.682212652871385217e-06
-6.519309997558593750e+01,-2.639906120300292969e+01,4.000000000000000000e+00,1.302589010447263718e-02
4.265762329101562500e+01,-2.143124961853027344e+01,5.000000000000000000e+00,1.362894428893923759e-03
3.783835983276367188e+01,-2.102155303955078125e+01,7.000000000000000000e+00,7.814969420433044434e-01
5.552964687347412109e+00,2.651136207580566406e+01,3.000000000000000000e+00,1.654761872487142682e-04
-5.213130950927734375e+01,-1.961245155334472656e+01,4.000000000000000000e+00,1.569379121065139771e-01
-7.659401893615722656e+00,7.071321868896484375e+01,1.000000000000000000e+00,1.966972558875568211e-05
-1.805044746398925781e+01,-4.067817306518554688e+01,2.000000000000000000e+00,3.808315098285675049e-02
-5.982859420776367188e+01,-2.745546150207519531e+01,4.000000000000000000e+00,5.710352659225463867e-01
3.896637916564941406e+00,-2.825956916809082031e+01,8.000000000000000000e+00,1.071748920367099345e-04
-4.973154830932617188e+01,3.680703353881835938e+01,0.000000000000000000e+00,1.613606815226376057e-03
-1.731048583984375000e+01,-2.924903297424316406e+01,2.000000000000000000e+00,4.896988626569509506e-03
4.064502716064453125e+01,-2.254604339599609375e+01,5.000000000000000000e+00,9.912703186273574829e-03
2.967623519897460938e+01,9.268843650817871094e+00,7.000000000000000000e+00,3.367719182278960943e-05
4.905619049072265625e+01,-2.604407119750976562e+01,9.000000000000000000e+00,7.873917579650878906e+00
5.080562591552734375e+00,6.600070953369140625e+01,1.000000000000000000e+00,2.384186075232719304e-07
-2.971562767028808594e+01,-4.131579208374023438e+01,4.000000000000000000e+00,2.852759599685668945e+00
-6.636475372314453125e+01,-4.071061325073242188e+01,6.000000000000000000e+00,1.352395862340927124e-01
-2.100697135925292969e+01,2.698079872131347656e+01,0.000000000000000000e+00,2.640504539012908936e-01
6.095692443847656250e+01,3.149939346313476562e+01,9.000000000000000000e+00,1.360805472359061241e-03
-1.881607437133789062e+01,-1.538417816162109375e+00,3.000000000000000000e+00,4.057338461279869080e-02
1.646166419982910156e+01,-5.504214477539062500e+01,8.000000000000000000e+00,0.000000000000000000e+00
7.648831844329833984e+00,-6.629222869873046875e+01,8.000000000000000000e+00,1.180178969661938027e-05
7.853369235992431641e+00,3.436757278442382812e+01,3.000000000000000000e+00,2.060998529195785522e-01
-1.720515251159667969e+01,6.604525566101074219e+00,3.000000000000000000e+00,3.051890805363655090e-02
4.257297039031982422e+00,-6.524193572998046875e+01,8.000000000000000000e+00,5.728170435759238899e-05
-4.998396682739257812e+01,4.247725296020507812e+01,0.000000000000000000e+00,2.125852275639772415e-03
1.563698768615722656e+01,1.513339281082153320e+00,7.000000000000000000e+00,4.112729129701619968e-06
3.249101638793945312e+01,-2.481489562988281250e+01,5.000000000000000000e+00,1.638383022509515285e-03
2.166116523742675781e+01,7.499147891998291016e+00,7.000000000000000000e+00,6.675742497463943437e-06
6.578599548339843750e+01,1.817807579040527344e+01,9.000000000000000000e+00,9.489509830018505454e-05
-5.503737640380859375e+01,1.665111541748046875e+01,6.000000000000000000e+00,1.679598093032836914e-01
5.777306079864501953e+00,6.992782592773437500e+01,1.000000000000000000e+00,4.172325986928626662e-07
-2.503668212890625000e+01,1.665276336669921875e+01,3.000000000000000000e+00,2.203680515289306641e+00
4.410367965698242188e+01,3.383915328979492188e+01,7.000000000000000000e+00,8.347294479608535767e-02
-6.125056457519531250e+01,-3.983172988891601562e+01,6.000000000000000000e+00,1.390290111303329468e-01
4.271117401123046875e+01,2.923907470703125000e+01,7.000000000000000000e+00,1.612081378698348999e-02
-2.132968711853027344e+01,-2.396845626831054688e+01,2.000000000000000000e+00,2.045247554779052734e-01
-1.072865772247314453e+01,6.897892761230468750e+01,1.000000000000000000e+00,5.429668817669153214e-04
-5.069561767578125000e+01,-3.039558029174804688e+01,2.000000000000000000e+00,3.068496286869049072e-01
-2.572833633422851562e+01,-2.137539482116699219e+01,2.000000000000000000e+00,1.130136251449584961e+00
-6.977858734130859375e+01,-2.379251098632812500e+01,4.000000000000000000e+00,1.765418983995914459e-02
-6.182163238525390625e+01,-2.948807907104492188e+01,4.000000000000000000e+00,3.418914377689361572e-01
3.554222488403320312e+01,-3.099745368957519531e+01,5.000000000000000000e+00,1.502048326074145734e-05
2.760703086853027344e+00,-1.891404151916503906e+01,8.000000000000000000e+00,2.531093079596757889e-03
-3.567990493774414062e+01,-2.616540718078613281e+01,2.000000000000000000e+00,1.264596590772271156e-03
-1.356809139251708984e+01,-5.419227218627929688e+01,2.000000000000000000e+00,1.268023904412984848e-02
9.200346946716308594e+00,-2.948821830749511719e+01,8.000000000000000000e+00,9.179157132166437805e-06
-6.725473785400390625e+01,-4.235783004760742188e+01,4.000000000000000000e+00,1.968063414096832275e-01
4.682305335998535156e+00,-2.993292045593261719e+01,8.000000000000000000e+00,2.610717456263955683e-05
-5.188409805297851562e+01,4.173719406127929688e+01,0.000000000000000000e+00,5.655099521391093731e-04
3.693358993530273438e+01,2.580796957015991211e+00,7.000000000000000000e+00,1.455651363357901573e-04
2.865666007995605469e+01,1.341012382507324219e+01,7.000000000000000000e+00,8.591527002863585949e-04
9.720035552978515625e+00,-5.858698272705078125e+01,8.000000000000000000e+00,7.629423635080456734e-06
4.197719192504882812e+01,-3.353693771362304688e+01,5.000000000000000000e+00,1.430512497790914495e-06
1.306393718719482422e+01,5.886904144287109375e+01,1.000000000000000000e+00,0.000000000000000000e+00
-3.857670545578002930e+00,7.034935760498046875e+01,1.000000000000000000e+00,1.561653880344238132e-05
-2.113239860534667969e+01,1.505477523803710938e+01,2.000000000000000000e+00,8.232221007347106934e-01
-2.184404945373535156e+01,-4.080396175384521484e+00,3.000000000000000000e+00,1.134722709655761719e+00
3.860927200317382812e+01,2.655319404602050781e+01,9.000000000000000000e+00,3.935544013977050781e+00
1.571078968048095703e+01,-5.421561813354492188e+01,8.000000000000000000e+00,0.000000000000000000e+00
2.849499893188476562e+01,-1.374960541725158691e+00,7.000000000000000000e+00,8.929174509830772877e-05
-3.672758102416992188e+01,4.099420166015625000e+01,0.000000000000000000e+00,6.889011710882186890e-02
-1.687123298645019531e+01,-2.949410629272460938e+01,2.000000000000000000e+00,2.780365291982889175e-03
-2.903081321716308594e+01,1.626077461242675781e+01,6.000000000000000000e+00,4.841108024120330811e-01
-4.090971374511718750e+01,-2.464999771118164062e+01,2.000000000000000000e+00,1.275385856628417969e+00
-6.964941620826721191e-01,3.156654548645019531e+01,3.000000000000000000e+00,1.763229072093963623e-02
1.700029754638671875e+01,6.301305389404296875e+01,1.000000000000000000e+00,0.000000000000000000e+00
-2.252166938781738281e+01,-5.651989364624023438e+01,2.000000000000000000e+00,6.151388515718281269e-05
9.176523208618164062e+00,-3.182975959777832031e+01,8.000000000000000000e+00,1.335152956016827375e-05
-6.443594360351562500e+01,-1.782978248596191406e+01,4.000000000000000000e+00,1.251765410415828228e-03
-2.793365001678466797e+00,5.919958877563476562e+01,1.000000000000000000e+00,4.398919554660096765e-05
1.496155261993408203e+01,-4.590099716186523438e+01,8.000000000000000000e+00,8.940700695347914007e-07
7.768077087402343750e+01,-2.411221313476562500e+01,5.000000000000000000e+00,0.000000000000000000e+00
7.013791656494140625e+01,2.159892845153808594e+01,9.000000000000000000e+00,1.937169690791051835e-05
4.355527496337890625e+01,-2.853193283081054688e+01,5.000000000000000000e+00,6.193114677444100380e-05
-5.271943664550781250e+01,2.645818519592285156e+01,0.000000000000000000e+00,6.642759544774889946e-04
-5.106153964996337891e+00,2.737020111083984375e+01,3.000000000000000000e+00,4.892153665423393250e-02
-4.047248840332031250e+01,-3.345100784301757812e+01,2.000000000000000000e+00,1.713184174150228500e-04
-4.448279571533203125e+01,3.688569641113281250e+01,0.000000000000000000e+00,1.538386452011764050e-03
-3.784495925903320312e+01,8.143977165222167969e+00,6.000000000000000000e+00,8.603771924972534180e-01
4.603799057006835938e+01,-3.487783432006835938e+01,5.000000000000000000e+00,2.741817525020451285e-06
-3.106438875198364258e+00,2.535472106933593750e+01,3.000000000000000000e+00,1.506896596401929855e-02
-6.430509185791015625e+01,-4.999873733520507812e+01,6.000000000000000000e+00,3.645440563559532166e-03
2.701266670227050781e+01,8.824390411376953125e+00,7.000000000000000000e+00,4.887592695013154298e-06
2.289387941360473633e+00,7.326265716552734375e+01,1.000000000000000000e+00,1.907350451801903546e-06
4.690574645996093750e+00,-3.536957931518554688e+01,8.000000000000000000e+00,1.454459124943241477e-04
-4.336376571655273438e+01,3.022260856628417969e+01,0.000000000000000000e+00,7.139536738395690918e-02
-7.614028930664062500e+00,6.997791290283203125e+01,1.000000000000000000e+00,1.382837308483431116e-05
-2.198152732849121094e+01,-2.575346755981445312e+01,4.000000000000000000e+00,2.357300281524658203e+00
-2.019785499572753906e+01,-5.687611770629882812e+01,2.000000000000000000e+00,1.035815011709928513e-02
-3.548855543136596680e+00,1.935073852539062500e+01,3.000000000000000000e+00,9.779942920431494713e-04
-6.098080062866210938e+01,-4.124084472656250000e+01,6.000000000000000000e+00,1.992114931344985962e-01
2.721182250976562500e+01,9.840702056884765625e+00,7.000000000000000000e+00,1.186139434139477089e-05
-2.617471694946289062e+01,-2.313120460510253906e+01,2.000000000000000000e+00,8.838455677032470703e-01
2.841202354431152344e+01,8.568486213684082031e+00,7.000000000000000000e+00,3.814704541582614183e-06
7.534812450408935547e+00,-2.646657180786132812e+01,8.000000000000000000e+00,1.478206104366108775e-05
3.340801239013671875e+01,-2.719863128662109375e+01,5.000000000000000000e+00,1.716628503345418721e-05
4.407745361328125000e+01,2.367982673645019531e+01,9.000000000000000000e+00,3.880811333656311035e-01
5.511420059204101562e+01,1.726862907409667969e+01,9.000000000000000000e+00,1.092315069399774075e-03
-6.166062545776367188e+01,-1.422314453125000000e+01,4.000000000000000000e+00,1.046370365656912327e-03
-1.378412342071533203e+01,-5.599467849731445312e+01,2.000000000000000000e+00,1.998393330723047256e-03
4.654264831542968750e+01,-3.401364517211914062e+01,5.000000000000000000e+00,1.496087770647136495e-05
2.482661628723144531e+01,2.050059884786605835e-01,7.000000000000000000e+00,3.278793010395020247e-04
-3.485562133789062500e+01,3.000696372985839844e+01,0.000000000000000000e+00,1.040401756763458252e-01
7.132723999023437500e+01,-2.375108528137207031e+01,5.000000000000000000e+00,1.096731466532219201e-05
-2.755956840515136719e+01,-5.694878387451171875e+01,2.000000000000000000e+00,6.321878172457218170e-04
6.209669113159179688e+00,-2.953726959228515625e+01,8.000000000000000000e+00,2.896609075833112001e-04
-5.543799209594726562e+01,-4.145391464233398438e+01,6.000000000000000000e+00,4.608502611517906189e-02
3.737291717529296875e+01,-2.644002437591552734e+00,7.000000000000000000e+00,7.957264780998229980e-03
1.604039382934570312e+01,-2.507272338867187500e+01,8.000000000000000000e+00,2.741817525020451285e-06
-5.055144119262695312e+01,3.590998458862304688e+01,0.000000000000000000e+00,4.551254096440970898e-04
-4.797100830078125000e+01,5.232543945312500000e+01,0.000000000000000000e+00,2.253081038361415267e-05
5.510378646850585938e+01,2.052047920227050781e+01,9.000000000000000000e+00,4.185363184660673141e-03
6.644284820556640625e+01,2.980391883850097656e+01,9.000000000000000000e+00,2.908533497247844934e-04
-2.845167875289916992e+00,7.505404949188232422e+00,3.000000000000000000e+00,5.266383290290832520e-03
-5.224813461303710938e+01,4.437614822387695312e+01,0.000000000000000000e+00,1.009317813441157341e-03
1.601846885681152344e+01,-4.854880142211914062e+01,8.000000000000000000e+00,0.000000000000000000e+00
